title,abstract
The Real Folk Blues,"The Real Folk Blues is a series of blues albums released between 1965 and 1967 by Chess Records, later reissued MCA Records. Each album in the series highlighted the music of one major Chess artist, including John Lee Hooker, Howlin' Wolf, Muddy Waters, and Sonny Boy Williamson II."
Tivadar Kardos,"Tivadar Kardos (September 26, 1921 in Budapest – May 15, 1998) was a well-known Hungarian chess problem creator (Chess composer) and author in chess."
Raymond Weinstein,"Raymond A. Weinstein (born April 25, 1941) is an American chess master from  Brooklyn, New York, who was awarded the FIDE International Master title in 1962."
Max Weiss,Miksa (Max) Weisz (21 July 1857 – 14 March 1927) was an Austrian chess player born in the Kingdom of Hungary.
S. Lipschütz,"Samuel (Sml) or Salomon (Slm) Lipschütz (July 4, 1863 in Ungvár, Ung County – November 30, 1905 in Hamburg) was a chess player and author. He was chess champion of the United States from 1892 to 1894."
Transcendental Chess,"Transcendental Chess (TC) is a chess variant invented in 1978 by Maxwell Lawrence.Pritchard (1994), p."
Richard Griffith,"Richard Clewin Griffith (22 July 1872 in London – 11 December 1955 in Hendon, London) was an English chess player, author and editor. He was educated at Charterhouse School."
Hippogonal,"A hippogonal (pronounced ) chess move is one similar to a knight's move.  That is, a leap m squares in one of the orthogonal directions, and n squares in the other, for integer values of m and n."
Erich Zepler,"Erich Ernest Zepler (27 January 1898 - 13 May 1980), later known as Eric, was a German-born electronics expert and chess problem composer."
Zepler doubling,"Zepler doubling is a manoeuvre in chess in which a piece moves along a certain line (rank, file or diagonal), then another friendly piece moves onto that same line, then the first piece moves again in the same direction as before. The term is effectively limited to the field of chess problems."
Turton doubling,"Turton doubling is a manoeuvre in chess in which a piece moves along a line (rank, file or diagonal), then a similarly-moving piece moves onto the same line in front of it, then this second piece moves again along this line, in the opposite direction to that of the first. Use of the term is effectively limited to the field of chess problems."
Bill Goichberg,"William Goichberg (born November 11, 1942) is a chess master and chess tournament organizer and director.  He founded the Continental Chess Association (CCA), which runs the annual World Open and other large tournaments."
James Sherwin,"James Terry Sherwin (born October 25, 1933) is an American corporate executive and International Master in chess."
Ed Edmondson,"Edmund Edmondson (13 August 1920 – 21 October 1982) was President of the United States Chess Federation from 1963 to 1966 and Executive Director of the USCF from 1966 to 1975. He served as an officer, reaching the rank of Lieutenant Colonel, with the United States Air Force."
Don Schultz,"Don Schultz (born 13 May 1936 in Woodhaven, Queens, New York) is a former president and a former vice-president of the United States Chess Federation (USCF). He currently resides in Florida."
Maria Manakova,"Maria Manakova (born 1 March 1974) is a Russian-born Serbian chess player holding the title of Woman Grandmaster (WGM). Born in Kazan, she lived in Serbia for several years and played for the Yugoslav women's chess team."
Chess Oscar,Chess Oscar was an international award given annually to the best chess player. The winner was selected by votes that are cast by chess journalists from across the world.
Ben Finegold,"Benjamin Finegold (born September 6, 1969 in Detroit, Michigan) is an American chess grandmaster."
Mechanics' Institute Chess Club,"The Mechanics' Institute Chess Club in San Francisco is the oldest chess club in the United States.Frank Brady, Endgame: Bobby Fischer's Remarkable Rise and Fall - from America's Brightest Prodigy to the Edge of Madness, Crown, 2011, p."
Sonneborn–Berger score,"The Sonneborn–Berger score (or the Neustadtl score) is a scoring system often used to break ties in chess tournaments. It is computed by summing the conventional score of each defeated opponent, and half the conventional score of each drawn opponent."
Heian shogi,"Heian shōgi (平安将棋 ""Heian era chess"") is a predecessor of modern shogi (Japanese chess).  Some form of chess almost certainly reached Japan by the 9th century, if not earlier, but the earliest surviving Japanese description of the rules dates from the early 12th century (c."
"Queen's Gambit Declined, Rubinstein Trap","The Rubinstein Trap is a chess opening trap in the Queen's Gambit Declined, Orthodox Defense."
Belle,"Belle was a chess computer developed by Joe Condon (hardware) and Ken Thompson (software) at Bell Labs. In 1983, it was the first machine to achieve master-level play, with a USCF rating of 2250."
Knight relay chess,"Knight Relay chess (also called N-Relay chess) is a chess variant invented  by Mannis Charosh in 1972. In this game knights ""relay"" their power to friendly pieces."
San Francisco Mechanics' Institute,"frame|alt=Front of Mechanics' Institute building|Mechanics' Institute Library and Chess RoomThe Mechanics' Institute Library and Chess Room is a historic membership library, cultural event center, and chess club in the Financial District of San Francisco, in the U.S."
Five by Five,"Five by Five is the second EP by The Rolling Stones and was released in 1964.  Captured during a prolific spurt of recording activity at Chess Studios in Chicago that June, Five By Five was released that August in the UK shortly after their debut album, The Rolling Stones, had appeared."
Kenneth Thomas,"Kenneth Thomas (born February 24, 1938) was Chief Financial Officer of the United States Chess Federation from April 23 to December 31, 2004. He took over the position of CFO of the USCF during a period of great financial distress, with the USCF having lost money seven years in a row, with total losses amounting to $1."
Gastón Needleman,"Gastón Needleman (born 1990) is a former chess player from Mendoza, Argentina. He attended high school at Escuela de Comercio Martin Zapata."
Interzonal,"Interzonal chess tournaments were tournaments organized by the World Chess Federation FIDE from the 1950s to the 1990s.  They were a stage in the triennial World Chess Championship cycle and were held after the Zonal tournaments, and before the Candidates Tournament."
Norm,A norm in chess is a high level of performance in a chess tournament. Several norms are one of the requirements to receive a title such as Grandmaster from FIDE.
Dutch Chess Championship,"The Dutch Chess Championship was officially established in 1909, although unofficial champions stretch back to the 1870s."
Lasker's Manual of Chess,"Lasker's Manual of Chess () is a book on the game of chess written in 1925 by former World Chess Champion Emanuel Lasker. The content of the book, as Lasker himself writes, is most influenced by the theories put forth by Steinitz, as well as Staunton's The Chess-Player's Handbook."
Ko shogi,"Kō shōgi (廣将棋 or 廣象棋 'broad chess') is a large-board variant of shogi, or Japanese chess.  The game dates back to the turn of the 18th century and is based on xiangqi and go as well as shogi.  Credit for its invention has been given to Confucian scholar Ogyū Sorai."
Taimanov Variation,"The Taimanov Variation can refer to variations of four different chess openings, all named after Mark Taimanov:"
Endgame tablebase,"An endgame tablebase is a computerized database that contains precalculated exhaustive analysis of  chess endgame positions.  It is typically used by a computer chess engine during play, or by a human or computer that is retrospectively analysing a game that has already been played."
FIDE World Chess Championship 2005,"The FIDE World Chess Championship 2005 took place in Potrero de los Funes, San Luis Province in Argentina from September 27 to October 16, 2005. It was won by Veselin Topalov."
Irish Chess Championship,"The Irish Chess Championship is the national Championship of Ireland as run by the Irish Chess Union (ICU), the FIDE governing body for the sport.FIDE Directory, Member Associations Below are the list of winners for the Open and Women's titles."
Anna Akhsharumova,"Anna Akhsharumova (; born 9 January 1957, Moscow) is a Woman Grandmaster of chess. She is the wife of chess grandmaster Boris Gulko."
János Flesch,"János Flesch (30 September 1933 – 9 December 1983) was a chess Grandmaster, chess writer and coach, born in Budapest, Hungary. He is best known for claiming a world record simultaneous blindfold exhibition when he played 52 opponents in Budapest in 1960."
Kung-Fu Chess,"Kung-Fu Chess is a chess variant without turns, therefore being related as a real-time strategy game. It is a computer online game played by two or four players simultaneously using the Internet."
Juan Corzo,"Juan Corzo y Príncipe (June 24, 1873 – September 27, 1941) was a Spanish–Cuban chess master and five-time chess champion of Cuba."
Kingwood,right|thumb|300 px|A chess piece made from kingwood.
Sports in Albania,"Sports in Albania revolves mostly around team sports, such as football, basketball, volleyball and handball. Other sports includes boxing, weightlifting, tennis, swimming, judo, karate, athletics, table tennis, and chess."
Alexander Petrov,"Alexander Dmitrievich Petrov () (February 12, 1794, in Biserovo, near Pskov – April 22, 1867, in Warsaw) was a Russian chess player, chess composer, and chess writer."
The exchange,The exchange in chess refers to a situation in which one player loses a minor piece (i.e.
Kamran Shirazi,"Kamran Shirazi (; born 21 November 1952) is an International Master of chess. Born in Tehran, he has represented Iran, the United States, and France."
Oxford University Chess Club,"The Oxford University Chess Club (OUCC) was founded at the University of Oxford in 1869""The Oxford-Cambridge Varsity history"", OlimpBase - Encyclopaedia of Team Chess""Difficult Chess Trivia"", Susan Polgar Chess Blog, February 10, 2008 and is the oldest university chess club in the United Kingdom.""Chess Trivia"", Logical Chess The Club meets each Tuesday evening during University term time."
Cheating death,thumb|The medieval painting of Death playing chess from [[Täby|Täby Church in Sweden.]]
Norman T. Whitaker,"Norman Tweed Whitaker (April 9, 1890 – May 20, 1975) was an American International Master of chess, a lawyer, a civil servant, and a chess author. He was convicted of several crimes, was disbarred from the practice of law, and served several terms in prison."
English Chess Federation,"The English Chess Federation (ECF) is the governing chess organisation in England and is affiliated to FIDE. The ECF was formed in 2004 and was effectively a re-constitution of the extant governing body, the British Chess Federation (BCF), an organisation founded in 1904."
Navia Dratp,"Navia Dratp () is a collectible miniatures game with similarities to shogi, the Japanese equivalent of chess. See also chess variants for similar type games."
4NCL,"The 4NCL, or Four Nations Chess League, is a chess league in the United Kingdom and named after its four nations: England, Scotland, Wales, and Northern Ireland. However, the league is truly international, with players from as many as 27 different countries taking part."
Michael Valvo,"Michael Valvo (April 19, 1942 in New York – September 18, 2004 in Chanhassen, Minnesota) was an International Master of chess."
Touch-move rule,"The touch-move rule in chess specifies that, if a player deliberately touches a pieceIn the context of the rules of chess, the term ""piece"" refers to all six piece types, including pawns. on the board when it is his turn to move, then he must move or capture that piece if it is legal to do so."
Bernard Zuckerman,"Bernard Zuckerman (born March 31, 1943 in Brooklyn, New York) is an International Master of chess."
El Ajedrecista,"El Ajedrecista () is an automaton built in 1912 by Leonardo Torres y Quevedo, one of the first autonomous machines capable of playing chess."
Abe Turner,"Abe Turner (1924 – October 25, 1962) was an American chess master. He had a chess rating over 2400 and played several times in the U."
Peruvian Immortal,"The Peruvian Immortal is the name given to a spectacular chess game played by the Peruvian master (later grandmaster) Esteban Canal against an unknown amateur in a simultaneous exhibition he gave at Budapest in 1934.The Peruvian Immortal Game at GameKnotFamous Chess Games: Peruvian Immortal In just 14 moves, Canal sacrificed both his rooks and his queen, finishing with Boden's mate."
David H. Li,David H. Li is an author on Chinese history and chess.
USCF Grand Prix,"The USCF Grand Prix is a set of chess tournaments for prize money rated by the United States Chess Federation. In general, a tournament must have at least $300 in guaranteed prizes to award ""Grand Prix"" points."
Chess960 numbering scheme,"The game Chess960, played with conventional chess pieces and rules, starts with a random selection of one of 960 positions for the pieces.  Arrangements of the pieces are restricted so that the king is between the rooks and the bishops are on different colored squares."
Open file,"An open file in chess is a  with no pawns of either color on it.According to Nimzowitsch, ""A file is said to be open for the Rook when no pawn of his [own color] is in it."
Los Alamos chess,Los Alamos chess (or anti-clerical chess) is a chess variant played on a 6×6 board without bishops. This was the first chess-like game played by a computer program.
AVRO 1938 chess tournament,"The AVRO tournament was a famous chess tournament held in the Netherlands in 1938, sponsored by the Dutch broadcasting company AVRO. The event was a double round-robin tournament between the eight strongest players in the world."
Renato Naranja,"Renato Naranja (born September 24, 1940) is an International Master of chess from the Philippines."
Johann Hermann Bauer,"Johann Hermann Bauer (June 30, 1861, Prague – April 5, 1891, Görz), was an Austrian chess master."
Larry Parr,"Lawrence ""Larry"" Parr (May 21, 1946 – April 2, 2011) was a chess player, author and editor."
Mike Goodall,"Kenneth Michael Goodall, better known as Mike Goodall, (born January 13, 1946 in Denver, Colorado; died October 5, 2010 in Marinwood, California) was until his death the most active chess tournament organizer in Northern California. He organized and directed the U."
Leroy Dubeck,"Dr. Leroy William Dubeck (born March 1, 1939, in Orange, NJ) is a chess master and a chess politician and a retired Professor of Physics."
James Eade,"James Eade (born March 23, 1957) is an American chess master, chess administrator, chess tournament organizer, and chess book publisher. He holds the title of FIDE Master."
Rybka,"Rybka is a computer chess engine designed by International Master Vasik Rajlich. Around 2011, Rybka was one of the top-rated engines on chess engine rating listsIPON; Ponder ON Rating list and has won many computer chess tournaments."
David S. Goodman,"David Simon Charles Goodman (born 25 February 1958 in England) is an International Master of chess, and a chess writer. Awarded the IM title in 1983, he won the World Youth Chess Championship (Cadets) in 1975."
Jonathan Tisdall,"Jonathan D. Tisdall (born August 26, 1958 in Buffalo, New York) is a grandmaster of chess (title awarded 1993) and works as a freelance journalist."
Jana Bellin,"Jana Bellin (née Malypetrová; born 9 December 1947) is a British, formerly Czechoslovak chess player. She was awarded the Woman International Master chess title in 1969 and the Woman Grandmaster title in 1982."
List of Presidents of the United States Chess Federation,This article lists the Presidents of the United States Chess Federation from its foundation in 1939 to present. The Presidents were elected by voting members to three-year terms.
Executive Directors of the United States Chess Federation,Executive Directors of the United States Chess Federation
Cray Blitz,"Cray Blitz was a computer chess program written by Robert Hyatt, Harry L. Nelson, and Albert Gower to run on the Cray supercomputer."
Denis Barry,"Denis Barry (June 2, 1929 – December 20, 2003, in Tucson, Arizona) was president of the United States Chess Federation from 1993 to 1996. He was an enthusiastic chess organizer, best known for establishing the US Amateur Team East Chess Championship, which is held annually in Parsippany, New Jersey, and which remains one of the most popular USCF events."
Al Lawrence,"Albert J Lawrence (born in Illinois, United States) is a chess expert and author."
Carol Jarecki,"Carol Jarecki (born 1935) is an American chess organizer, an International Arbiter, and a chess writer."
Comins Mansfield,Comins Mansfield  (14 June 1896 – 27 March 1984) was a chess problem composer. He gained title International Grandmaster FIDE in 1972 and 94.
Hanon Russell,"Hanon W. Russell is a lawyer, chess expert, chess book author, translator, online chess magazine publisher and chess book store operator."
Lasca,"Lasca (also called Laska or Laskers) is a draughts (or checkers) variant, invented by the second World Chess Champion Emanuel Lasker (1868–1941). Lasca is derived from English draughts (American checkers) and a Russian draughts game Bashni (Towers)."
Hedgehog,"The Hedgehog is a pawn formation in chess adopted usually by Black that can arise from several openings. Black exchanges his pawn on c5 for White's pawn on d4, and then places pawns on squares a6, b6, d6, and e6."
Pawn structure,"In chess, the pawn structure (sometimes known as the pawn skeleton) is the configuration of pawns on the chessboard. Since pawns are the least mobile of the chess pieces, the pawn structure is relatively static and thus largely determines the strategic nature of the position."
Alekhine's gun,"Alekhine's gun is a formation in chess named after the former world chess champion Alexander Alekhine. This formation was named after a game he played against Aron Nimzowitsch in Sanremo 1930, ending with Alekhine's decisive victory."
Davor Palo,"Davor Palo (born 2 November 1985) is a Danish chess Grandmaster. Having obtained the title in 2005 at the age of 19, he is the youngest grandmaster in the history of Denmark."
New Zealand Chess Championship,The New Zealand Chess Championship was first conducted in 1879.
International Correspondence Chess Federation,"International Correspondence Chess Federation (ICCF) was founded on March 26, 1951 as a new appearance of the International Correspondence Chess Association (ICCA), which was founded in 1945, as successor of the Internationaler Fernschachbund (IFSB), founded on December 2, 1928."
Ortvin Sarapu,"Ortvin Sarapu MBE (Born: Ortvin Sarapuu); 22 January 1924 in Narva, Estonia – 13 April 1999 in Auckland, New Zealand), sometimes known as ""Mr Chess"", was a New Zealand chess International Master who won or shared the New Zealand Chess Championship 20 times from 1952 to 1990."
Joseph McLellan,"Joseph Duncan McLellan, known as Joe, (1929-2005) was The Washington Post's music critic for more than three decades as well as a chess and book reviewer."
Swedish Chess Computer Association,"The Swedish Chess Computer Association (, SSDF) is an organization that tests computer chess software by playing chess programs against one another and producing a rating list. On September 26, 2008, the list was released with Deep Rybka 3 leading with an estimated Elo rating of 3238."
PlunderChess,PlunderChess is a chess variant in which the capturing piece is allowed to temporarily take the moving abilities of the piece taken.
Stefan Mohr,Stefan Mohr (born 22 October 1967) is a German chess grandmaster (GM).  Mohr earned the GM title in 1989.
Alexander Ivanov,"Alexander Ivanov (born May 1, 1956) is a Soviet-born American chess grandmaster. Born in Omsk,Top Player Bios: GM Alexander Ivanov."
Boris Kostić,"right|thumb|190px|Borislav KosticBorislav Kostić (aka Boris or Bora Kostic, Kostitsch; 24 February 1887 – 3 November 1963) was a Serbian chess grandmaster and a noted popularizer of the game."
Nenad Petrović,"Nenad Petrović, (September 7, 1907 in Zagreb, Kingdom of Croatia-Slavonia-Dalmatia, Austria-Hungary (now Croatia) – November 9, 1989 in Zagreb, Socialist Republic of Croatia, Yugoslavia) was a Croatian chess problemist."
Gregory Serper,"Gregory Serper () (born September 14, 1969) is a Grandmaster of chess.  ""FIDE Chess Profile"" https://ratings."
Andrey Lukin,"Andrei Lukin (, born August 28, 1948) is a chess International Master and a chess coach."
Handbuch des Schachspiels,"Handbuch des Schachspiels (Handbook of Chess, often simply called the Handbuch) is a chess book, first published in 18431st ed. as google book by Tassilo von Heydebrand und der Lasa."
Johannes Minckwitz,"Johannes Minckwitz (April 11, 1843, Leipzig – May 20, 1901, Biebrich) was a German chess player and author."
Göring Attack,The Göring Attack is a line of play which occurs in the Evans Gambit chess opening. It begins with the moves:
Bishop and knight checkmate,"The bishop and knight checkmate in chess is the checkmate of a lone king which can be forced by a bishop, knight, and king. With the stronger side to move and with perfect play, checkmate can be forced in at most thirty-three moves from any starting position where the defender cannot quickly win one of the pieces."
Anthem,"""Anthem"" is a song from the concept album and subsequent  musical Chess by Tim Rice, Benny Andersson and Björn Ulvaeus. The song describes the feelings of Soviet Russian challenger, Anatoly Sergievsky, when he defects."
Tim Harding,"Timothy David Harding (born 6 May 1948 in London) is a chess player and author with particular expertise in correspondence chess. He published a correspondence chess magazine Chess Mail from 1996 to 2006 and authored ""The Kibitzer"", a ChessCafe."
Karl Fabel,"Karl Fabel (born October 20, 1905 – 3 March 1975 Pischertshofen) is considered to have been one of the most ingenious chess composers.  He was born in Hamburg, Germany."
Neo-Indian Attack,The Neo-Indian Attack is a chess opening that begins with the moves:
Displacement chess,Displacement chess is a family of chess variants in which a few pieces are transposed in the initial standard chess position. The main goal of these variants is to negate players' knowledge of standard chess openings.
Capablanca Random Chess,Capablanca Random Chess (CRC) is a chess variant invented by Reinhard Scharnagl in 2004. It combines the piece set and 10×8 board from Capablanca Chess with the permutation idea of Fischer Random Chess (FRC or Chess960).
Oscar Chajes,"Oscar Chajes (pronounced ""HA-yes"") (December 14, 1873 – February 28, 1928)* was an American chess player."
Zoltán Varga,"Zoltán Varga (born July 12, 1970) is a Hungarian chess grandmaster. On the July 2009 FIDE list his Elo rating is 2473."
Chess'n Math Association,"The Chess'n Math Association (or Chess and Math Association) is a non-profit organization dedicated to bringing chess into Canadian schools. Founded in 1985 by Larry Bevand, who still serves as its Executive Director, it bills itself as ""Canada's National Scholastic Chess Organization"", although it is not affiliated with the Chess Federation of Canada, Canada's official FIDE-recognized chess organization."
Scachs d'amor,"Scachs d'amor (Catalan for Chess of Love), whose complete title is Hobra intitulada scachs d'amor feta per don Francí de Castellví e Narcis Vinyoles e mossèn Fenollar, is the name of a poem written by Francesc de Castellví, Bernat Fenollar, and Narcís de Vinyoles, published in Valencia, Spain towards the end of the 15th century."
Australian Correspondence Chess Championship,"The Australian Correspondence Chess Championship is organised by the Correspondence Chess League of Australia (CCLA). The event was held three times before 1937, with O Ludlow winning once and F M Hallman winning twice."
Board representation,"In computer chess, software developers must choose a data structure to represent chess positions on the chessboard.  Several data structures exist, collectively known as board representations."
Gauri Shankar,Gauri Shankar (born 1 October 1992) is an Indian chess player who is currently a FIDE Master.World Chess Federation Profile
Berthold Englisch,"Berthold Englisch (9 July 1851, Hotzenplotz – 19 October 1897, Vienna) was a leading Austrian chess master."
Grasshopper,"The grasshopper is a fairy chess piece that moves along ranks, files, and diagonals (as an ordinary queen) but only by hopping over another piece at any distance to the square immediately closest. If there is no piece to hop over, it cannot move."
Ryan Palmer,"Ryan Palmer (born 23 January 1974) is a chess player of Jamaican origin; he was the Jamaican National Champion in 1992. During the academic years of 2004-2007, he taught mathematics at Adams' Grammar School in Newport, Shropshire, and now has moved to the United States, to pursue further studies."
James Macrae Aitken,"James Macrae Aitken (27 October 1908 – 3 December 1983) was a Scottish chess player. Aitken was born in Calderbank, Lanarkshire, Scotland."
Florian Jenni,Florian Jenni (born 24 March 1980 in Lieli) is a Swiss chess grandmaster.
Georg Kieninger,Georg Kieninger (5 June 1902 in Munich – 25 January 1975 in Düsseldorf) was a German chess player and International Master (IM).
Malaysian Chess Federation,The Malaysian Chess Federation (MCF) is the principal authority over all chess events in Malaysia and organizes the Malaysian Chess Championship. The MCF promotes and coordinates all major chess events in the 13 Malaysian states and is an active sports body in Malaysia.
Svein Johannessen,"Svein Johannessen (17 October 1937 – 27 November 2007) was a Norwegian chess player. He became Norway's second International Master, after Olaf Barda, in 1961."
László Polgár,"László Polgár (born 11 May 1946 in Gyöngyös), is a Hungarian chess teacher and educational psychologist. He is the father of the famous ""Polgár sisters"": Zsuzsa, Zsófia, and Judit, whom he raised to be chess prodigies, with Judit and Zsuzsa becoming the best and second best female chess players in the world, respectively."
Dortmund Sparkassen Chess Meeting,"The Dortmund Sparkassen Chess Meeting is an elite chess tournament held every summer in Dortmund, Germany. Dortmund is an invite-only event, with the exception that one slot at Dortmund is awarded to the winner of the annual Aeroflot Open in Moscow."
Legan chess,Legan chess (or Legan's game) is a chess variant invented by L. Legan in 1913.
Alfred William Gyles,Alfred William Gyles (7 March 1888 – 15 May 1967) was New Zealand chess champion on two occasions—1930/31 and 1935/36.
Hrvoje Bartolović,"Hrvoje (Vojko) Bartolović (15 June 1932 in Zagreb – 3 November 2005), was a Croatian chess problemist."
Ebury Way,"The Ebury Way is a  rail trail running between Rickmansworth and Watford in Hertfordshire. The route crosses three rivers; The River Colne, River Chess and River Gade as well as the Grand Union Canal."
37th Chess Olympiad,"The 37th Chess Olympiad, organized by FIDE and comprising an openAlthough commonly referred to as the men's division, this section is open to both male and female players. and a women's tournament, as well as several other events designed to promote the game of chess, took place between May 20 and June 4, 2006, in Turin, Italy."
Lessing J. Rosenwald,"Lessing Julius Rosenwald (February 10, 1891 – June 24, 1979) was an American businessman, a collector of rare books and art, a chess patron, and a philanthropist."
Rockit,"Rockit is the nineteenth studio album by Chuck Berry, released in 1979 by Atco Records. It was his only release for the label, following Berry's departure in 1975 from Chess Records."
Bessel Kok,"Bessel Kok (born in Hilversum, 13 December 1941) is a Dutch businessman and chess organiser living in Prague. He has served in top management positions in telecommunications companies in Belgium (Belgacom) and in the Czech Republic."
Steven Doyle,"Edward Steven Doyle was President of the United States Chess Federation from 1984 to 1987, the youngest person ever to be elected to that position. He is a chess tournament organizer, who is best known for organizing the annual U."
Ignatius Leong,"Ignatius Leong (born 1956) is a professional chess organizer in Singapore and has been one of Asia's leading organizers for more than 20 years. He is FIDE Secretary-General and President of the ASEAN Chess Confederation, a 14-country zone, geographically the largest in the world."
Chuck Berry on Stage,"Chuck Berry on Stage is the first live album by Chuck Berry, released in 1963 by Chess Records. Although promoted as a live album, it is a collection of previously released studio recordings (except for 5 songs..."
Banqi,"Banqi () or Half Chess, also known as Dark Chess (暗棋) or Blind Chess (盲棋), is a two-player Chinese board game played on a 4x8 grid, or half of the xiangqi (Chinese chess) board. Most games last between ten and twenty minutes, but advanced games can go on for an hour or more."
Walter Korn,"Walter Korn (22 May 1908; Prague, Czechoslovakia – July 9, 1997; San Mateo, California, United States) was a Czech-born, naturalised American author of books and magazine articles about chess. Despite his status as a writer, there is no known record of him playing tournament chess, and few chess players ever met him."
Hou Yifan,Hou Yifan  New in Chess NICBase Online Info.
King's graph,"In graph theory, a king's graph is a graph that represents all legal moves of the king chess piece on a chessboard where each vertex represents a square on a chessboard and each edge is a legal move.  More specifically, an n \times m king's graph is a king's graph of an n \times m chessboard.."
Knight's graph,"In graph theory, a knight's graph, or a knight's tour graph, is a graph that represents all legal moves of the knight chess piece on a chessboard. Each vertex of this graph represents a square of the chessboard, and each edge connects two squares that are a knight's move apart from each other."
Folk Singer,"Folk Singer is the fourth studio album by Muddy Waters, released in April 1964 by Chess Records. The album features Waters on acoustic guitar, backed by Willie Dixon on string bass, Clifton James on drums, and Buddy Guy on acoustic guitar."
Shannon number,"The Shannon number, named after Claude Shannon, is a conservative lower bound (not an estimate) of the game-tree complexity of chess of 10120, based on an average of about 103 possibilities for a pair of moves consisting of a move for White followed by one for Black, and a typical game lasting about 40 such pairs of moves."
Karel Treybal,Karel Treybal (2 February 1885 – 2 October 1941) was a prominent Czech chess player of the early twentieth century.
Larissa Volpert,"Larisa Ilinichna Volpert (; 30 March 1926 – 1 October 2017) was a Soviet chess Woman Grandmaster and Russian and Estonian philologist. She was a three time  Soviet women's chess champion (1954, 1958, and 1959)."
Alexander Ilyin-Genevsky,"Alexander Fyodorovich Ilyin (; November 28, 1894 – September 3, 1941), known with the party name Zhenevsky, ""the Genevan"" because he joined the Bolshevik group of Russian émigrés while exiled in that city, was a Soviet chess master and organizer, one of founders of the Soviet chess school, an Old-Guard Bolshevik cadre, a writer, a military organizer, a historian and a diplomat. He was born in Saint Petersburg and was the younger brother of Red Navy leader Fedor Raskolnikov."
Ludwig Bledow,"Dr Ludwig Erdmann Bledow (27 July 1795, Berlin – 6 August 1846, Berlin) was a German chess master and chess organizer (co-founder of the Berlin Pleiades)."
Alexander Pituk,"Alexander (Sándor) Pituk (October 26, 1904 in Banská Štiavnica – April 30, 2002 in Banská Štiavnica) was a Slovak and Hungarian chess problem composer and judge."
M-Tel Masters,"Mtel Masters was an annual super-GM chess tournament held between 2005 and 2009 in Sofia, Bulgaria, sponsored and organized by the Bulgarian mobile network operator, M-Tel. The tournament was held as a double round-robin at the five-star Grand Hotel Sofia."
Alexander Beaufort Meek,"Alexander Beaufort Meek (July 17, 1814 (Columbia, South Carolina) – November 1, 1865 (Columbus, Mississippi) was an American politician, lawyer, judge, chess player, writer and poet. He served as Alabama's Attorney General in 1836."
Stanislav Kriventsov,"Stanislav ""Stas"" Kriventsov or Stan Kriventsov (; born November 2, 1973 in Moscow, Russia) is a chess International Master and a chess coach who currently resides in Canada after spending ten years in the United States between 1997 and 2007. He was a regular participant of American chess tournaments and has won over 60 United States Chess Federation Grand Prix tournaments, including four Pennsylvania state championships."
Vasik Rajlich,"Vasik Rajlich (born 1971 in Cleveland, Ohio) is an International Master in chess and the author of Rybka, previously one of the strongest chess playing programs in the world. Rajlich is a dual Czechoslovakian-American citizen by birth; he was born in the United States of America to Czech parents, at that time graduate students, but grew up in Prague."
Blind chess,Blind chess may refer to:
Stuart Rachels,"Stuart Rachels (born September 26, 1969) is an International Master of chess and the son of the philosopher James Rachels (1941–2003). He tied for first place in the 1989-90 U."
Chessmetrics,Chessmetrics is a system for rating chess players devised by Jeff Sonas. It is intended as an improvement over the Elo rating system.
Jaroslav Šajtar,"Jaroslav Šajtar (December 3, 1921 – February 4, 2003) was a Czech chess master and an honorary grandmaster, born in Ostrava."
Women's World Chess Championship,"The Women's World Chess Championship (WWCC) is played to determine the women's world champion in chess. Like the World Chess Championship, it is administered by FIDE."
Mac Hack,Mac Hack is a computer chess program written by Richard D. Greenblatt.
David Forsyth,"David Forsyth (1854–1909), a Scotsman who emigrated to New Zealand, served as chess editor of the Glasgow Weekly Herald.  Forsyth invented a method for recording chess positions, which he published in the Glasgow Weekly Herald in 1883, now known as Forsyth notation."
Transposition,"A transposition in chess and other chess-like games is a sequence of moves that results in a position which may also be reached by another, more common sequence of moves.  Transpositions are particularly common in the opening, where a given position may be reached by different sequences of moves."
China Qiyuan,"China Qiyuan () is an official agency responsible for board games and card games such as go, bridge, chess and Chinese chess affairs under the All-China Sports Federation of the People's Republic of China."
Friedrich Sämisch,"Friedrich Sämisch (September 20, 1896, Charlottenburg – August 16, 1975, Berlin) was a German chess Grandmaster (1950)."
Gladiator chess,Gladiator chess is a chess tournament style. It was introduced in the 2006 Danish Chess Championships.
Lora Yakovleva,"Lora Grigoryevna Yakovleva (or Lora Jakovleva) (; April 21, 1932, Perm) is a Russian woman International Correspondence Chess Grandmaster, most famous for being the second ICCF Women's World Champion in correspondence chess between 1972 and 1977."
Ljuba Kristol,"Ljuba Danielovna Kristol (; ; born May 26, 1944, Leningrad) is a Russian-born Israeli International Correspondence Chess Grandmaster and Woman International Master."
Liudmila Belavenets,"Liudmila Sergeyevna Belavenets (also spelled Lyudmila Sergeevna Belavenets; ; born June 7, 1940) is a Russian chess player. In correspondence chess, she is the fourth women's world champion (1984–1992) 4."
Joseph Plachutta,"Joseph Plachutta, also Josef Plachutta or Josip Plahuta (born 13 May 1827 in Zadar, Austrian Empire, today's Croatia, died 22 July 1883) was a Slovene descent chess problemist and chess player, known for his famous problem with Plachutta theme."
